2024-05-22 20:00:21,639 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.crt' and 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.key' are in the correct directory.
2024-05-22 20:02:29,982 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.csr' and '/home/akhilesh/Desktop/DS+Comp_sec/cs/server.key' are in the correct directory.
2024-05-22 20:27:35,692 - Server started. Listening on 127.0.0.1:8443
2024-05-22 20:27:35,692 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:27:35,692 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:27:58,085 - Responded to ('127.0.0.1', 39722): Hello! what you are looking for?
2024-05-22 20:32:18,498 - Server started. Listening on 127.0.0.1:8443
2024-05-22 20:32:18,499 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:32:18,499 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:32:19,693 - Connected by ('127.0.0.1', 48266)
2024-05-22 20:32:19,733 - Connected by ('127.0.0.1', 48278)
2024-05-22 20:32:19,736 - Connected by ('127.0.0.1', 48290)
2024-05-22 20:32:19,755 - Connected by ('127.0.0.1', 48296)
2024-05-22 20:32:19,758 - Connected by ('127.0.0.1', 48306)
2024-05-22 20:32:19,760 - Connected by ('127.0.0.1', 48318)
2024-05-22 20:32:19,770 - Connected by ('127.0.0.1', 48328)
2024-05-22 20:32:19,776 - Connected by ('127.0.0.1', 48338)
2024-05-22 20:32:19,788 - Connected by ('127.0.0.1', 48350)
2024-05-22 20:32:19,793 - Connected by ('127.0.0.1', 48366)
2024-05-22 20:32:19,800 - Connected by ('127.0.0.1', 48370)
2024-05-22 20:32:19,806 - Connected by ('127.0.0.1', 48386)
2024-05-22 20:32:19,809 - Connected by ('127.0.0.1', 48400)
2024-05-22 20:32:19,812 - Connected by ('127.0.0.1', 48416)
